epoch,train_loss,train_acc,val_loss,val_acc,lr,time_elapsed
1,0.6969525138537089,0.5125,0.684534576204088,0.5,0.001,0.3992197513580322
2,0.6936608632405599,0.525,0.6880596147643195,0.5,0.001,0.4882621765136719
3,0.6809074362119039,0.55,0.6822858982616,0.5,0.001,0.5637950897216797
4,0.6815921624501546,0.5958333333333333,0.6786783536275228,0.5,0.001,0.6395556926727295
5,0.6782805641492208,0.5083333333333333,0.6769992642932467,0.5,0.001,0.716101884841919
6,0.6771640380223592,0.5333333333333333,0.6754935847388374,0.5,0.001,0.7938692569732666
7,0.673655919233958,0.5541666666666667,0.6730580462349786,0.5,0.001,0.8809661865234375
8,0.6712543884913127,0.6416666666666667,0.669395751423306,0.5,0.001,0.9680261611938477
9,0.6667499423027039,0.5666666666666667,0.6696504354476929,0.5555555555555556,0.001,1.0549190044403076
10,0.6685320099194845,0.5958333333333333,0.6649894184536405,0.5,0.001,1.1458842754364014
11,0.649091879526774,0.5916666666666667,0.6546461251046922,0.6666666666666666,0.001,1.234853982925415
12,0.6430524667104085,0.6875,0.6433529390229119,0.5,0.001,1.326108694076538
13,0.6164475679397583,0.7416666666666667,0.628105362256368,0.6111111111111112,0.001,1.4314451217651367
14,0.6020220160484314,0.7208333333333333,0.6516783634821574,0.5555555555555556,0.001,1.5364842414855957
15,0.6056304236253103,0.6375,0.6344287925296359,0.6111111111111112,0.001,1.6428825855255127
16,0.6631519496440887,0.5458333333333333,0.6548053357336256,0.5555555555555556,0.001,1.751889944076538
17,0.5966645836830139,0.6833333333333333,0.5943400727377998,0.7222222222222222,0.001,1.8594262599945068
18,0.5625516136487325,0.7458333333333333,0.5912060737609863,0.7222222222222222,0.001,1.9676260948181152
19,0.5195773601531982,0.7833333333333333,0.634228464629915,0.6111111111111112,0.001,2.0746331214904785
20,0.528320950269699,0.7583333333333333,0.5380263593461778,0.7222222222222222,0.001,2.1777796745300293
21,0.47929141322771707,0.7958333333333333,0.5323250889778137,0.7777777777777778,0.001,2.2835512161254883
22,0.4468422551949819,0.8166666666666667,0.5641120274861654,0.7777777777777778,0.001,2.3891067504882812
23,0.44841460982958475,0.8083333333333333,0.514174567328559,0.6666666666666666,0.001,2.499232769012451
24,0.44068635602792106,0.8125,0.5211935506926643,0.7777777777777778,0.001,2.603229522705078
25,0.41233227054278054,0.8333333333333334,0.5747249126434326,0.7777777777777778,0.001,2.7065417766571045
26,0.4171277304490407,0.8375,0.6204207208421495,0.7222222222222222,0.001,2.815338611602783
27,0.38293955524762474,0.8458333333333333,0.7170637845993042,0.6666666666666666,0.001,2.919315814971924
28,0.3781382198135058,0.8208333333333333,0.5471571816338433,0.6111111111111112,0.001,3.0228686332702637
29,0.36147633790969846,0.8458333333333333,0.8979501459333632,0.6666666666666666,0.001,3.1216421127319336
30,0.42247306207815805,0.8125,0.5690075192186568,0.6111111111111112,0.001,3.2210683822631836
31,0.38274383346239726,0.8416666666666667,0.5565086735619439,0.8333333333333334,0.001,3.315361499786377
32,0.347109709183375,0.8583333333333333,0.5557345416810777,0.8333333333333334,0.001,3.4143283367156982
33,0.3475870743393898,0.8541666666666666,0.6145373185475668,0.7777777777777778,0.001,3.516815662384033
34,0.31228123207887015,0.875,0.5972998142242432,0.7777777777777778,0.001,3.6188504695892334
35,0.29881664117177326,0.875,0.6011192003885905,0.8333333333333334,0.001,3.721580743789673
36,0.3218446046113968,0.8625,0.668680297003852,0.7777777777777778,0.001,3.824862241744995
37,0.29723377525806427,0.8625,0.7352161672380235,0.6666666666666666,0.001,3.9271771907806396
38,0.28285384476184844,0.8833333333333333,0.6472605731752183,0.8333333333333334,0.001,4.029212951660156
39,0.26377481867869695,0.8958333333333334,0.6371018091837565,0.8333333333333334,0.001,4.136183261871338
40,0.2671837801734606,0.8958333333333334,0.8782321347130669,0.6666666666666666,0.001,4.245540618896484
41,0.2563419952988625,0.8916666666666667,0.6881080733405219,0.8333333333333334,0.001,4.358905792236328
42,0.2445287014047305,0.9041666666666667,0.6975406408309937,0.8333333333333334,0.001,4.463111162185669
43,0.22793576171000798,0.9,0.6881227956877815,0.6666666666666666,0.001,4.567730665206909
44,0.2407575433452924,0.9125,0.7633586724599203,0.6666666666666666,0.001,4.671687364578247
45,0.2147423749168714,0.9125,0.7941226959228516,0.7777777777777778,0.001,4.779262542724609
46,0.25251434221863744,0.875,0.747778058052063,0.6666666666666666,0.001,4.887164831161499
47,0.3957236031691233,0.8166666666666667,1.15171660317315,0.6666666666666666,0.001,4.995710849761963
48,0.3571233997742335,0.8458333333333333,0.6778189142545065,0.5555555555555556,0.001,5.101452589035034
49,0.2337656557559967,0.9,0.7365387015872531,0.7777777777777778,0.001,5.206737995147705
50,0.2150323969622453,0.9041666666666667,0.7982168992360433,0.7777777777777778,0.001,5.311143398284912
51,0.21554584751526515,0.9208333333333333,0.7096063560909696,0.7777777777777778,0.001,5.415313005447388
52,0.2119486058751742,0.9208333333333333,0.7958110570907593,0.7777777777777778,0.001,5.520369291305542
53,0.20906642551223437,0.9083333333333333,0.7409267822901408,0.7222222222222222,0.001,5.626078844070435
54,0.1835151766737302,0.9166666666666666,0.7929569880167643,0.8333333333333334,0.001,5.72931432723999
55,0.23899979914228123,0.8958333333333334,0.7670804262161255,0.6666666666666666,0.001,5.832775831222534
56,0.27684008578459424,0.8583333333333333,0.8705084588792589,0.7777777777777778,0.001,5.931491851806641
57,0.23016965066393216,0.8958333333333334,1.0495382679833307,0.6666666666666666,0.001,6.0275750160217285
58,0.2265203466018041,0.9041666666666667,1.0978695584668055,0.6111111111111112,0.001,6.123750686645508
59,0.3489574268460274,0.8291666666666667,0.9012906551361084,0.6666666666666666,0.001,6.222158432006836
60,0.22390333066383997,0.9125,0.8017657995223999,0.7777777777777778,0.001,6.319132566452026
61,0.17184030016263327,0.9291666666666667,0.8159422344631619,0.7777777777777778,0.001,6.415446519851685
