epoch,train_loss,train_acc,train_pre,train_recall,train_f1,val_loss,val_acc,val_pre,val_recall,val_f1,lr,time_elapsed
1,0.6813577047565527,0.5596491228070175,0.572972972972973,0.381294964028777,0.45788336933045354,0.6750369336869981,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.001,0.7323408126831055
2,0.6537665446599324,0.6228070175438597,0.6582914572864321,0.4712230215827338,0.549266247379455,0.6349586976899041,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.001,1.14393949508667
3,0.5963976533789384,0.7210526315789474,0.7448559670781894,0.6510791366906474,0.6948176583493282,0.590612702899509,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.001,1.52579665184021
4,0.5109160624052349,0.7649122807017544,0.7686567164179104,0.7410071942446043,0.7545787545787546,0.599750730726454,0.6666666666666666,1.0,0.3333333333333333,0.5,0.001,2.0174763202667236
5,0.497428361993087,0.7745614035087719,0.7684021543985637,0.7697841726618705,0.7690925426774483,0.5640264550844828,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.001,2.498913288116455
6,0.44359859818952124,0.7964912280701755,0.7892857142857143,0.7949640287769785,0.7921146953405018,0.6635542180803087,0.6666666666666666,1.0,0.3333333333333333,0.5,0.001,2.937112808227539
7,0.37578192070910804,0.8482456140350877,0.8450450450450451,0.8435251798561151,0.8442844284428442,0.6541361080275642,0.6111111111111112,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.001,3.4052340984344482
8,0.3536703346068399,0.8447368421052631,0.848987108655617,0.829136690647482,0.8389444949954504,0.7070873313479953,0.6666666666666666,0.8,0.4444444444444444,0.5714285714285714,0.001,3.893828868865967
9,0.3105735001856821,0.8824561403508772,0.8767857142857143,0.8830935251798561,0.8799283154121864,0.779538008901808,0.6666666666666666,0.8,0.4444444444444444,0.5714285714285714,0.001,4.371121644973755
10,0.30412130282636274,0.8771929824561403,0.8795620437956204,0.8669064748201439,0.8731884057971014,0.7584947215186225,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.001,4.846903324127197
11,0.28076170264628897,0.8894736842105263,0.8825622775800712,0.8920863309352518,0.8872987477638641,0.7455284794171652,0.6666666666666666,0.8,0.4444444444444444,0.5714285714285714,0.001,5.333588600158691
12,0.25139867213734407,0.9087719298245615,0.9064748201438849,0.9064748201438849,0.9064748201438849,0.912233418888516,0.6666666666666666,0.8,0.4444444444444444,0.5714285714285714,0.001,5.815476417541504
13,0.2513920794976385,0.8991228070175439,0.8944543828264758,0.8992805755395683,0.8968609865470852,0.7606893910302056,0.6666666666666666,0.7142857142857143,0.5555555555555556,0.625,0.001,6.2999842166900635
14,0.24643868584381906,0.9008771929824562,0.8976660682226212,0.8992805755395683,0.8984725965858041,0.9360666672388712,0.5555555555555556,0.5714285714285714,0.4444444444444444,0.5,0.001,6.756304502487183
15,0.22135604473582485,0.9096491228070176,0.9037433155080213,0.9118705035971223,0.9077887197851388,0.9081338047981262,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.001,7.190028667449951
16,0.23162808125479178,0.9052631578947369,0.9072727272727272,0.8974820143884892,0.9023508137432188,0.8794062534968058,0.6111111111111112,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.001,7.544862270355225
17,0.19653325008980016,0.9271929824561403,0.9292196007259528,0.920863309352518,0.9250225835591689,0.8740555644035339,0.6666666666666666,0.7142857142857143,0.5555555555555556,0.625,0.001,7.917768478393555
18,0.17501104976001539,0.9271929824561403,0.9200710479573713,0.9316546762589928,0.9258266309204647,1.0123318698671129,0.6666666666666666,0.8,0.4444444444444444,0.5714285714285714,0.001,8.39716649055481
19,0.19083790901982994,0.9201754385964912,0.9174147217235189,0.9190647482014388,0.9182389937106918,1.0341824955410428,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154,0.001,8.925367593765259
20,0.17433327935766754,0.9315789473684211,0.9329710144927537,0.9262589928057554,0.9296028880866426,0.9237146145767636,0.6666666666666666,0.7142857142857143,0.5555555555555556,0.625,0.001,9.406869411468506
